date:1478354988,lat:47.08175221,long:2.41070416;
date:1478354998,lat:47.08162877,long:2.41032436;
date:1478355008,lat:47.08156215,long:2.41000115;
date:1478355018,lat:47.08160839,long:2.40994084;
date:1478355028,lat:47.08151734,long:2.40974827;
date:1478355038,lat:47.08148306,long:2.40963429;
date:1478355048,lat:47.08144461,long:2.40949563;
date:1478355058,lat:47.08139892,long:2.40924981;
date:1478355068,lat:47.08133661,long:2.4090185;
date:1478355078,lat:47.08127787,long:2.40879684;
date:1478355088,lat:47.08116989,long:2.40865974;
date:1478355098,lat:47.08119165,long:2.40838754;
date:1478355108,lat:47.08120441,long:2.40827758;
date:1478355118,lat:47.08097005,long:2.40804062;
date:1478355128,lat:47.08096661,long:2.40788446;
date:1478355138,lat:47.08094707,long:2.40777928;
date:1478355148,lat:47.08092341,long:2.40749859;
date:1478355158,lat:47.08090333,long:2.40728318;
date:1478355168,lat:47.08089751,long:2.4072381;
date:1478355178,lat:47.08112513,long:2.40708641;
date:1478355188,lat:47.08118791,long:2.40672261;
date:1478355198,lat:47.0811581,long:2.40660478;
date:1478355208,lat:47.08113154,long:2.40631276;
date:1478355218,lat:47.0809778,long:2.40619743;
date:1478355228,lat:47.08088555,long:2.40612173;
date:1478355238,lat:47.08099232,long:2.40591445;
date:1478355248,lat:47.08106696,long:2.40567204;
date:1478355259,lat:47.08108812,long:2.40559435;
date:1478355269,lat:47.08116114,long:2.40519439;
date:1478355279,lat:47.08110717,long:2.40498295;
date:1478355289,lat:47.08121265,long:2.40488375;
date:1478355299,lat:47.08133886,long:2.40476985;
date:1478355309,lat:47.08137078,long:2.40451133;
date:1478355319,lat:47.08137278,long:2.40436206;
date:1478355329,lat:47.08136757,long:2.40427404;
date:1478355339,lat:47.08144934,long:2.40405981;
date:1478355349,lat:47.0814484,long:2.403882;
date:1478355359,lat:47.08151628,long:2.40364387;
date:1478355369,lat:47.08150423,long:2.40342333;
date:1478355379,lat:47.08156828,long:2.40321151;
date:1478355389,lat:47.08158329,long:2.40294471;
date:1478355399,lat:47.08165877,long:2.40278732;
date:1478355409,lat:47.08173898,long:2.40274986;
date:1478355419,lat:47.08190514,long:2.40276844;
date:1478355429,lat:47.08217656,long:2.40274822;
date:1478355439,lat:47.08224401,long:2.40271701;
date:1478355449,lat:47.08232544,long:2.40264371;
date:1478355459,lat:47.08249011,long:2.40263734;
date:1478355469,lat:47.08254788,long:2.40256715;
date:1478355479,lat:47.08284135,long:2.40260785;
date:1478355489,lat:47.08292496,long:2.40261094;
date:1478355499,lat:47.08293215,long:2.40261183;
date:1478355509,lat:47.08298367,long:2.40259548;
date:1478355519,lat:47.08334147,long:2.40261688;
date:1478355529,lat:47.08338499,long:2.4026024;
date:1478355539,lat:47.08345176,long:2.40257046;
date:1478355549,lat:47.08357507,long:2.40251246;
date:1478355559,lat:47.08371608,long:2.40245766;
date:1478355569,lat:47.08396619,long:2.4024885;
date:1478355579,lat:47.08416682,long:2.40251699;
date:1478355589,lat:47.08423696,long:2.40252334;
date:1478355599,lat:47.08437019,long:2.40263743;
date:1478355609,lat:47.08456749,long:2.40263974;
date:1478355619,lat:47.08497001,long:2.40226766;
date:1478355629,lat:47.08499257,long:2.40231187;
date:1478355639,lat:47.08505157,long:2.4022305;
date:1478355649,lat:47.08493812,long:2.40206573;
date:1478355660,lat:47.08496962,long:2.40199446;
date:1478355670,lat:47.08506736,long:2.40168442;
date:1478355680,lat:47.08515243,long:2.40148397;
date:1478355690,lat:47.08522897,long:2.40130967;
date:1478355700,lat:47.08534768,long:2.40102069;
date:1478355710,lat:47.08555533,long:2.40096895;
date:1478355720,lat:47.0856007,long:2.40091906;
date:1478355730,lat:47.0856007,long:2.40091906;
date:1478355740,lat:47.0856007,long:2.40091906;
date:1478355750,lat:47.0856007,long:2.40091906;
date:1478355760,lat:47.0856007,long:2.40091906;
date:1478355770,lat:47.0856007,long:2.40091906;
date:1478355780,lat:47.0856007,long:2.40091906;
date:1478355790,lat:47.0856007,long:2.40091906;
date:1478355800,lat:47.0856007,long:2.40091906;
date:1478355810,lat:47.0856007,long:2.40091906;
date:1478355820,lat:47.0856007,long:2.40091906;
date:1478355830,lat:47.0856007,long:2.40091906;
date:1478355840,lat:47.0856007,long:2.40091906;
date:1478355850,lat:47.0856007,long:2.40091906;
date:1478355860,lat:47.0856007,long:2.40091906;
date:1478355870,lat:47.0856007,long:2.40091906;
date:1478355880,lat:47.0856007,long:2.40091906;
date:1478355890,lat:47.0856007,long:2.40091906;
date:1478355900,lat:47.0856007,long:2.40091906;
date:1478355910,lat:47.0856007,long:2.40091906;
date:1478355920,lat:47.0856007,long:2.40091906;
date:1478355930,lat:47.0856007,long:2.40091906;
date:1478355940,lat:47.0856007,long:2.40091906;
date:1478355950,lat:47.0856007,long:2.40091906;
date:1478355960,lat:47.0856007,long:2.40091906;
date:1478355970,lat:47.0856007,long:2.40091906;
date:1478355980,lat:47.0856007,long:2.40091906;
date:1478355990,lat:47.0856007,long:2.40091906;
date:1478356000,lat:47.0856007,long:2.40091906;
date:1478356010,lat:47.0856007,long:2.40091906;
date:1478356021,lat:47.0856007,long:2.40091906;
date:1478356031,lat:47.0856007,long:2.40091906;
date:1478356041,lat:47.0856007,long:2.40091906;
date:1478356051,lat:47.08570848,long:2.40100114;
date:1478356061,lat:47.08568203,long:2.40104435;
date:1478356071,lat:47.08567195,long:2.4010687;
date:1478356081,lat:47.08555426,long:2.40100946;
date:1478356091,lat:47.08555426,long:2.40100946;
date:1478356101,lat:47.08547278,long:2.4011092;
date:1478356111,lat:47.0857176,long:2.40094974;
date:1478356121,lat:47.08562261,long:2.401068;
date:1478356131,lat:47.08560921,long:2.40108384;
date:1478356141,lat:47.08564837,long:2.40116555;
date:1478356151,lat:47.08554077,long:2.40101317;
date:1478356161,lat:47.08537697,long:2.40119729;
